id,product,amount,price,unit,tax,invoiceid,bodyid,invoicestatusid,customername,currencycode,billdate,account_code,vat_deducation,vat_status
4QZKqdn, Ciaran Aguilar + John Velasquez Lewis Bailey,12.0,10.415999999999999,kpl,24.0,W49KRV,xr5J,bw,Libero Mauris Corp.,EUR,2020-10-20 00:00:00.0,M5zP,100.0,09e2f
nAPx9YZ, Claudia Gould,1.0,20.831999999999997,kpl,24.0,W49KRV,xr5J,bw,Libero Mauris Corp.,EUR,2020-10-20 00:00:00.0,M5zP,100.0,09e2f
w7vZWbE, Lacota Shaw,1.0,12.647999999999998,kpl,24.0,W49KRV,xr5J,bw,Libero Mauris Corp.,EUR,2020-10-20 00:00:00.0,M5zP,100.0,09e2f
pw8EZM8, -,1.0,0.0,kpl,24.0,W49KRV,xr5J,bw,Libero Mauris Corp.,EUR,2020-10-20 00:00:00.0,M5zP,100.0,09e2f
qZ1pYGL, Cassandra Phelps Emerald Pratt Oscar Mccullough Nash Quinn Asher Mosley Ethan Melton Flavia Gordon,4.0,498.47999999999996,kpl,24.0,MkQY0a,xr5J,bw,Libero Mauris Corp.,EUR,2020-10-20 00:00:00.0,M5zP,100.0,09e2f
LEW38lw, Mariam Lamb,1.0,7.4399999999999995,kpl,24.0,MkQY0a,xr5J,bw,Libero Mauris Corp.,EUR,2020-10-20 00:00:00.0,M5zP,100.0,09e2f
xrknMJJ, -,1.0,0.0,kpl,24.0,MkQY0a,xr5J,bw,Libero Mauris Corp.,EUR,2020-10-20 00:00:00.0,M5zP,100.0,09e2f
B7q6w1J, -,1.0,0.0,kpl,24.0,zJnB4l,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
DG7QdrN, Lareina Vance Ulric Smith Victoria Roy Rahim Huffman,33.0,27.3492036,m,24.0,zJnB4l,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
2qw5Kd6, Lareina Vance Ulric Smith Fulton Mccarty Russell Stephenson,396.0,26.099499599999998,m,24.0,zJnB4l,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
lK2xyAJ, Malcolm Colon Joelle Travis 9 mm,66.0,2.2022496,m,24.0,zJnB4l,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
bLlAv3k, Wyoming Long Carly Drake Joelle Travis 23 mm,66.0,2.6487348,m,24.0,zJnB4l,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
J3RrEDz, Lareina Vance Ulric Smith Rose Tyler 78 Alfonso Parks,33.0,23.2427364,m,24.0,zJnB4l,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
87wg9dM, Lareina Vance Ulric Smith Thomas Carter 38 mm Simon Bishop,66.0,20.668415999999997,m,24.0,zJnB4l,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
10RKwd8, Ingrid Pittman Joelle Travis 26 mm,264.0,2.7528119999999996,m,24.0,zJnB4l,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
yYP7G8Q, Ebony Black Joelle Travis 28 mm,264.0,3.0503747999999997,m,24.0,zJnB4l,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
r7y9Gar, Lareina Vance Ulric Smith Hayfa Kemp Micah Peterson,66.0,17.275538400000002,m,24.0,zJnB4l,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
0PA79ZL, Winter Henson,4.0,44.6412372,kpl,24.0,zJnB4l,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
aw2v70p, -,1.0,0.0,kpl,24.0,zJnB4l,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
B7q6w13, Michael Lowe Quemby Barker Stephanie Macias,1.0,0.0,kpl,24.0,zJnB4l,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
DG7Qdrz, Michael Lowe Raymond Coffey,1.0,0.0,kpl,24.0,zJnB4l,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
2qw5Kdb, TaShya Horton Stephanie Macias,1.0,0.0,kpl,24.0,zJnB4l,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
lK2xyAP, Shafira Noble Stephanie Macias,1.0,0.0,kpl,24.0,zJnB4l,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
bLlAv36, Ferris Lowe Michelle Ortiz,1.0,0.0,kpl,24.0,zJnB4l,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
J3RrEDd, Daphne Logan Stephanie Macias,1.0,0.0,kpl,24.0,zJnB4l,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
87wg9dx, -,1.0,0.0,kpl,24.0,N9vm3n,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
10RKwdJ, Fay Pruitt Reagan Rowe Gregory Ramos,264.0,6.026382,m,24.0,N9vm3n,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
yYP7G8M, Hilary Rush Gray Grimes Nita Mccray mm,18.3,12.6476256,m,24.0,N9vm3n,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
r7y9GaZ, Winter Henson,2.0,44.6412372,kpl,24.0,N9vm3n,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
0PA79Zr, -,1.0,0.0,kpl,24.0,N9vm3n,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
39wpm07, Michael Lowe Quemby Barker Stephanie Macias,1.0,0.0,kpl,24.0,N9vm3n,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
VvVrEmr, Michael Lowe Raymond Coffey,1.0,0.0,kpl,24.0,N9vm3n,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
WvZM7G0, TaShya Horton Stephanie Macias,1.0,0.0,kpl,24.0,N9vm3n,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
MEPl1Gz, Shafira Noble Stephanie Macias,1.0,0.0,kpl,24.0,N9vm3n,xr5J,bw,Nec Tellus PC,EUR,2020-10-21 00:00:00.0,rEBK,100.0,09e2f
